suite,task,display_name,category,category_display_name,optimizer,mean_score,std_score,min_score,max_score,mean_raw_max_utility,std_raw_max_utility,min_raw_max_utility,max_raw_max_utility,trials,se_score,range_score,se_raw_max_utility,range_raw_max_utility,ci95_low_score,ci95_high_score,ci95_low_raw_max_utility,ci95_high_raw_max_utility,task_rank
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,best_logged,0.9755094248808254,0.0,0.9755094248808254,0.9755094248808254,-0.8891208966734875,0.0,-0.8891208966734875,-0.8891208966734875,8,0.0,0.0,0.0,0.0,0.9755094248808254,0.9755094248808254,-0.8891208966734875,-0.8891208966734875,11.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,coms,0.9786058548927473,0.0017658541919204904,0.9772087465534588,0.9819714133530824,-0.8804192031900352,0.004962463822983114,-0.8843454048108876,-0.8709611957396107,8,0.0006243237368468349,0.0047626667996235605,0.0017544959103121395,0.013384209071276909,0.9771295638437543,0.9800821459417404,-0.8845679267688796,-0.8762704796111908,9.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,bdi,0.9786573962271128,0.0017331465992187134,0.9772088399512913,0.981940747731448,-0.880274359970053,0.004870547827731556,-0.8843451423411058,-0.8710473733179556,8,0.0006127598565489778,0.004731907780156752,0.0017219986985411958,0.013297769023150274,0.9772084494099146,0.980106343044311,-0.8843462398538348,-0.8762024800862712,7.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,offline_mlp,0.9786059002944714,0.001765827956634864,0.9772087569309957,0.9819714133530824,-0.880419075600558,0.004962390095686455,-0.8843453756475785,-0.8709611957396107,8,0.0006243144612726485,0.00476265642208662,0.0017544698437764262,0.013384179907967808,0.977129631178726,0.9800821694102168,-0.8845677375418399,-0.876270413659276,8.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,cbas,0.9853094259388232,0.011056384692986927,0.9689842060760413,1.0013112817508005,-0.8615805986477376,0.031071030271338854,-0.9074582896496166,-0.816611636356934,8,0.0039090222959091,0.03232707567475923,0.010985268101658098,0.0908466532926826,0.9760660570178996,0.9945527948597468,-0.887556630011167,-0.8356045672843082,4.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,mins,0.9670041772181626,0.0024155895080665876,0.9640750084549362,0.9715741279681883,-0.9130226344412998,0.006788372222239375,-0.9212542846451678,-0.9001800026013782,8,0.0008540398608584802,0.007499119513252106,0.0024000520157819276,0.021074282043789583,0.9649846938513497,0.9690236605849755,-0.918697855642902,-0.9073474132396977,14.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,ddom,1.0033270612234102,0.0022407400861877242,0.9988105859211958,1.0048705278576286,-0.8109468239654545,0.006297004398942886,-0.8236391772736633,-0.8066093212603413,8,0.0007922212549099344,0.006059941936432889,0.002226327255827017,0.017029856013321965,1.001453755631423,1.0052003668153975,-0.816211251386565,-0.8056823965443439,2.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,gabo,0.9686519419901252,0.0026758163647653435,0.964839210274617,0.9722371176701702,-0.9083920295436458,0.007519670631838978,-0.9191066985641794,-0.8983168462738916,8,0.0009460439483677553,0.007397907395553127,0.0026586050480313355,0.020789852290287736,0.9664149035267422,0.9708889804535081,-0.9146786315156278,-0.9021054275716639,13.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,gtg,1.0027986785529748,0.0032187816325294607,0.9959277476716026,1.0049420498421648,-0.8124317030108049,0.00904553019076748,-0.8317406278841232,-0.8064083277341304,8,0.0011380111597601437,0.009014302170562205,0.0031980778686596647,0.02533230014999277,1.0001077097660227,1.0054896473399269,-0.8199939554975197,-0.8048694505240901,3.0
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,rgd,1.004056293338014,0.0012862553453035536,1.0010862552399646,1.0049288496151874,-0.8088975109452538,0.003614678747199028,-0.8172440135511241,-0.806445423463286,8,0.00045475993850079346,0.0038425943752227187,0.0012779819269776633,0.010798590087838122,1.0029809569587822,1.0051316297172457,-0.8119194580028825,-0.805875563887625,1.0
