suite,task,display_name,category,category_display_name,mean_score,std_score,min_score,max_score,mean_raw_utility,std_raw_utility,trials,se_score,range_score,ci95_low_score,ci95_high_score
data_mixture,data_recipes_stack_exchange,LLM-DM,data_mixture,Data Mixture,0.881195741757863,0.0,0.881195741757863,0.881195741757863,-1.154164433479309,0.0,8,0.0,0.0,0.881195741757863,0.881195741757863
synthetic,ackley,Ackley,many_local_minima,Many Local Minima,1.0,0.0,1.0,1.0,-6.905933812160986,2.569173853692455,8,0.0,0.0,1.0,1.0
synthetic,schaffer2,Schaffer N. 2,many_local_minima,Many Local Minima,1.0,0.0,1.0,1.0,-0.17777481269031656,0.11964892410013822,8,0.0,0.0,1.0,1.0
synthetic,sum_different_powers,Sum of Different Powers,bowl_shaped,Bowl-Shaped,1.0,0.0,1.0,1.0,-0.002240235732710275,0.003254829375737506,8,0.0,0.0,1.0,1.0
synthetic,matyas,Matyas,plate_shaped,Plate-Shaped,1.0,0.0,1.0,1.0,-0.048847549322918765,0.03997822493605029,8,0.0,0.0,1.0,1.0
synthetic,power_sum,Power Sum,plate_shaped,Plate-Shaped,1.0,0.0,1.0,1.0,-5.669011197074501,3.1070060825213184,8,0.0,0.0,1.0,1.0
synthetic,rosenbrock,Rosenbrock,valley_shaped,Valley-Shaped,1.0,0.0,1.0,1.0,-0.19175425405579408,0.09035214877398827,8,0.0,0.0,1.0,1.0
synthetic,michalewicz,Michalewicz,steep_ridges_drops,Steep Ridges/Drops,1.0,0.0,1.0,1.0,1.5678749430374659,0.14246118112502903,8,0.0,0.0,1.0,1.0
synthetic,hartmann6,Hartmann 6-D,other,Other,1.0,0.0,1.0,1.0,2.2409155840979547,0.32304235438466017,8,0.0,0.0,1.0,1.0
synthetic,shekel,Shekel,other,Other,1.0,0.0,1.0,1.0,1.381502307355656,0.5271323947239712,8,0.0,0.0,1.0,1.0
